passengers,day,date,weather,time_value,peak_hours,weekends,holidays
10,Monday,2024-05-13,Sunny,16:14,Yes,No,No
44,Thursday,2024-08-08,Sunny,05:04,No,No,No
50,Tuesday,2024-05-28,Sunny,21:40,No,No,No
22,Wednesday,2024-02-14,Rainy,14:48,No,No,No
0,Sunday,2024-04-07,Sunny,17:01,Yes,Yes,Yes
32,Wednesday,2024-04-24,Sunny,18:49,Yes,No,No
2,Thursday,2024-06-27,Rainy,21:16,No,No,No
34,Tuesday,2024-03-19,Sunny,21:58,No,No,No
50,Saturday,2024-11-30,Sunny,14:44,No,Yes,No
45,Saturday,2024-01-06,Rainy,07:11,Yes,Yes,No
8,Monday,2024-03-11,Rainy,14:29,No,No,No
50,Tuesday,2024-06-25,Sunny,16:24,Yes,No,No
16,Saturday,2024-02-10,Rainy,22:11,No,Yes,No
13,Friday,2024-10-11,Sunny,09:13,Yes,No,No
3,Monday,2024-04-01,Sunny,18:01,Yes,No,No
36,Thursday,2024-01-18,Rainy,08:34,Yes,No,No
43,Thursday,2024-07-18,Rainy,20:16,No,No,No
39,Sunday,2024-05-19,Sunny,12:58,No,Yes,No
50,Monday,2024-05-27,Rainy,19:07,Yes,No,No
13,Monday,2024-07-15,Rainy,22:02,No,No,No
25,Saturday,2024-05-25,Rainy,12:27,No,Yes,No
19,Monday,2024-06-10,Sunny,14:57,No,No,No
42,Tuesday,2024-11-19,Sunny,05:58,No,No,No
36,Wednesday,2024-10-23,Rainy,05:18,No,No,No
36,Sunday,2024-11-24,Sunny,12:10,No,Yes,No
35,Monday,2024-06-03,Rainy,22:54,No,No,No
37,Saturday,2024-02-24,Rainy,06:30,Yes,Yes,No
41,Thursday,2024-10-17,Sunny,10:36,No,No,No
28,Monday,2024-01-22,Sunny,07:00,Yes,No,No
42,Tuesday,2024-10-15,Rainy,07:21,Yes,No,No
26,Saturday,2024-12-14,Sunny,07:11,Yes,Yes,No
22,Thursday,2024-04-04,Rainy,18:41,Yes,No,No
26,Thursday,2024-12-05,Sunny,15:08,No,No,No
4,Saturday,2024-09-07,Sunny,09:04,Yes,Yes,No
42,Saturday,2024-12-21,Rainy,16:34,Yes,Yes,No
28,Friday,2024-08-30,Sunny,16:58,Yes,No,No
39,Tuesday,2024-01-23,Rainy,14:03,No,No,No
19,Tuesday,2024-12-24,Sunny,17:12,Yes,No,No
27,Saturday,2024-07-06,Sunny,13:59,No,Yes,No
28,Sunday,2024-11-10,Rainy,07:05,Yes,Yes,No
13,Monday,2024-02-05,Rainy,19:47,Yes,No,No
7,Saturday,2024-12-28,Rainy,12:36,No,Yes,No
25,Wednesday,2024-06-26,Rainy,13:08,No,No,No
28,Sunday,2024-08-25,Sunny,17:17,Yes,Yes,No
1,Friday,2024-08-02,Rainy,21:40,No,No,No
26,Saturday,2024-09-14,Rainy,06:51,Yes,Yes,No
33,Monday,2024-12-30,Rainy,11:31,No,No,No
50,Friday,2024-04-05,Rainy,18:03,Yes,No,No
22,Tuesday,2024-09-03,Sunny,12:55,No,No,No
45,Saturday,2024-11-30,Sunny,13:48,No,Yes,No
31,Monday,2024-05-13,Rainy,07:50,Yes,No,No
14,Friday,2024-01-05,Sunny,07:18,Yes,No,No
43,Thursday,2024-10-24,Rainy,10:56,No,No,No
41,Monday,2024-08-19,Sunny,05:16,No,No,No
3,Friday,2024-09-06,Rainy,11:18,No,No,No
44,Monday,2024-06-03,Rainy,20:33,No,No,No
48,Saturday,2024-10-19,Rainy,19:42,Yes,Yes,No
2,Friday,2024-07-19,Rainy,06:34,Yes,No,No
36,Sunday,2024-03-31,Rainy,17:46,Yes,Yes,No
26,Thursday,2024-01-04,Rainy,15:48,No,No,No
22,Sunday,2024-02-11,Rainy,20:52,No,Yes,No
10,Wednesday,2024-06-19,Rainy,14:03,No,No,No
22,Wednesday,2024-11-06,Rainy,20:41,No,No,No
15,Sunday,2024-07-28,Rainy,19:30,Yes,Yes,No
32,Thursday,2024-03-07,Rainy,10:24,No,No,No
41,Tuesday,2024-05-14,Sunny,14:09,No,No,No
45,Wednesday,2024-03-27,Sunny,20:18,No,No,No
18,Monday,2024-09-02,Rainy,12:36,No,No,No
6,Monday,2024-01-01,Sunny,13:41,No,No,Yes
35,Thursday,2024-12-19,Sunny,09:43,Yes,No,No
11,Friday,2024-08-23,Rainy,15:01,No,No,No
32,Wednesday,2024-01-24,Sunny,20:11,No,No,No
42,Thursday,2024-06-06,Sunny,09:58,Yes,No,No
43,Sunday,2024-01-21,Rainy,15:05,No,Yes,No
21,Wednesday,2024-02-28,Rainy,19:56,Yes,No,No
23,Monday,2024-03-25,Rainy,06:26,Yes,No,No
44,Wednesday,2024-03-06,Sunny,06:58,Yes,No,No
24,Wednesday,2024-06-12,Rainy,14:23,No,No,No
40,Sunday,2024-11-24,Sunny,08:58,Yes,Yes,No
17,Friday,2024-03-01,Sunny,09:32,Yes,No,No
35,Sunday,2024-03-31,Sunny,09:27,Yes,Yes,No
13,Saturday,2024-01-27,Sunny,21:22,No,Yes,No
3,Sunday,2024-04-21,Sunny,18:04,Yes,Yes,No
33,Friday,2024-03-08,Sunny,05:43,No,No,No
43,Monday,2024-06-24,Sunny,14:10,No,No,No
19,Friday,2024-05-03,Sunny,18:18,Yes,No,No
6,Monday,2024-08-19,Rainy,19:17,Yes,No,No
40,Thursday,2024-04-11,Sunny,22:41,No,No,No
7,Thursday,2024-05-02,Rainy,17:48,Yes,No,No
17,Thursday,2024-08-22,Rainy,18:11,Yes,No,No
47,Sunday,2024-10-06,Rainy,05:44,No,Yes,No
35,Monday,2024-07-29,Rainy,06:58,Yes,No,No
18,Tuesday,2024-11-12,Rainy,16:13,Yes,No,No
7,Monday,2024-01-29,Sunny,18:46,Yes,No,No
36,Monday,2024-09-23,Sunny,21:29,No,No,No
14,Wednesday,2024-03-13,Sunny,18:03,Yes,No,No
6,Thursday,2024-01-04,Rainy,21:44,No,No,No
14,Tuesday,2024-01-23,Sunny,09:39,Yes,No,No
38,Thursday,2024-11-28,Rainy,20:50,No,No,No
48,Saturday,2024-11-30,Rainy,06:55,Yes,Yes,No
44,Sunday,2024-11-03,Rainy,13:55,No,Yes,No
9,Tuesday,2024-07-02,Rainy,10:36,No,No,No
8,Friday,2024-05-10,Sunny,12:22,No,No,No
46,Thursday,2024-09-05,Sunny,15:29,No,No,No
44,Friday,2024-03-01,Rainy,08:56,Yes,No,No
32,Saturday,2024-11-23,Rainy,18:07,Yes,Yes,No
14,Tuesday,2024-07-02,Sunny,07:55,Yes,No,No
40,Thursday,2024-07-04,Sunny,07:40,Yes,No,No
10,Wednesday,2024-04-10,Rainy,17:29,Yes,No,No
31,Thursday,2024-12-19,Rainy,14:29,No,No,No
50,Friday,2024-01-12,Sunny,21:49,No,No,No
35,Wednesday,2024-08-07,Sunny,06:01,Yes,No,No
39,Monday,2024-05-20,Sunny,07:04,Yes,No,No
2,Wednesday,2024-01-10,Rainy,09:08,Yes,No,No
13,Sunday,2024-12-22,Sunny,07:16,Yes,Yes,No
21,Sunday,2024-10-27,Rainy,05:03,No,Yes,No
47,Wednesday,2024-07-24,Rainy,20:19,No,No,No
2,Sunday,2024-08-18,Sunny,08:45,Yes,Yes,No
34,Saturday,2024-12-14,Sunny,05:40,No,Yes,No
26,Friday,2024-04-05,Sunny,14:32,No,No,No
5,Thursday,2024-09-12,Rainy,18:51,Yes,No,No
16,Friday,2024-12-20,Sunny,21:12,No,No,No
16,Wednesday,2024-10-02,Sunny,08:18,Yes,No,No
3,Sunday,2024-03-10,Sunny,08:56,Yes,Yes,No
49,Saturday,2024-06-08,Sunny,06:49,Yes,Yes,No
40,Friday,2024-12-13,Sunny,17:14,Yes,No,No
26,Friday,2024-12-13,Rainy,16:05,Yes,No,No
41,Thursday,2024-01-11,Sunny,06:20,Yes,No,No
48,Thursday,2024-10-10,Rainy,15:09,No,No,No
6,Monday,2024-02-26,Sunny,09:13,Yes,No,No
45,Tuesday,2024-11-26,Sunny,12:31,No,No,No
35,Thursday,2024-10-10,Rainy,11:52,No,No,No
11,Friday,2024-10-04,Rainy,10:47,No,No,No
12,Thursday,2024-06-27,Rainy,11:06,No,No,No
13,Friday,2024-08-16,Sunny,05:46,No,No,No
5,Monday,2024-09-23,Rainy,08:09,Yes,No,No
17,Saturday,2024-10-05,Rainy,16:15,Yes,Yes,No
0,Friday,2024-01-05,Sunny,16:33,Yes,No,No
36,Monday,2024-04-15,Rainy,07:10,Yes,No,No
14,Tuesday,2024-05-21,Rainy,15:55,No,No,No
6,Friday,2024-08-16,Sunny,15:20,No,No,No
8,Wednesday,2024-06-12,Rainy,22:47,No,No,No
14,Tuesday,2024-07-16,Sunny,19:05,Yes,No,No
41,Saturday,2024-10-05,Sunny,06:01,Yes,Yes,No
7,Wednesday,2024-08-28,Rainy,14:18,No,No,No
50,Sunday,2024-06-16,Sunny,09:04,Yes,Yes,No
46,Thursday,2024-02-29,Rainy,10:29,No,No,No
17,Sunday,2024-10-27,Rainy,15:58,No,Yes,No
6,Friday,2024-10-11,Sunny,15:09,No,No,No
9,Monday,2024-05-13,Sunny,09:08,Yes,No,No
16,Friday,2024-04-05,Rainy,05:43,No,No,No
32,Wednesday,2024-10-23,Sunny,21:42,No,No,No
24,Thursday,2024-09-26,Rainy,08:50,Yes,No,No
1,Monday,2024-07-01,Rainy,10:35,No,No,No
41,Friday,2024-11-29,Rainy,16:46,Yes,No,No
19,Thursday,2024-09-12,Sunny,19:46,Yes,No,No
18,Sunday,2024-09-08,Sunny,06:04,Yes,Yes,No
38,Tuesday,2024-10-01,Rainy,19:46,Yes,No,No
42,Wednesday,2024-03-06,Sunny,05:15,No,No,No
13,Wednesday,2024-11-27,Sunny,14:04,No,No,No
24,Tuesday,2024-03-26,Sunny,19:23,Yes,No,No
11,Thursday,2024-12-05,Sunny,13:55,No,No,No
23,Thursday,2024-05-16,Rainy,19:12,Yes,No,No
34,Thursday,2024-10-10,Sunny,22:31,No,No,No
50,Wednesday,2024-11-06,Rainy,11:04,No,No,No
50,Thursday,2024-08-22,Sunny,17:08,Yes,No,No
31,Friday,2024-04-05,Sunny,17:41,Yes,No,No
39,Tuesday,2024-11-19,Rainy,16:27,Yes,No,No
28,Saturday,2024-06-29,Rainy,17:41,Yes,Yes,No
5,Monday,2024-02-05,Rainy,18:56,Yes,No,No
36,Friday,2024-03-01,Sunny,19:47,Yes,No,No
39,Thursday,2024-02-15,Sunny,20:38,No,No,No
47,Sunday,2024-05-12,Sunny,10:34,No,Yes,No
48,Saturday,2024-12-07,Sunny,20:22,No,Yes,No
8,Sunday,2024-11-03,Rainy,09:13,Yes,Yes,No
41,Thursday,2024-06-13,Rainy,06:04,Yes,No,No
21,Saturday,2024-09-28,Rainy,22:31,No,Yes,No
29,Friday,2024-10-18,Rainy,09:51,Yes,No,No
5,Sunday,2024-03-31,Rainy,19:30,Yes,Yes,No
41,Saturday,2024-02-17,Sunny,21:04,No,Yes,No
17,Sunday,2024-06-09,Sunny,07:36,Yes,Yes,No
42,Friday,2024-12-20,Rainy,06:01,Yes,No,No
26,Friday,2024-06-07,Sunny,14:36,No,No,No
3,Friday,2024-08-30,Sunny,09:33,Yes,No,No
18,Sunday,2024-03-10,Rainy,19:17,Yes,Yes,No
8,Wednesday,2024-05-01,Sunny,15:28,No,No,Yes
12,Monday,2024-12-30,Rainy,12:34,No,No,No
29,Tuesday,2024-06-04,Rainy,20:16,No,No,No
45,Friday,2024-03-15,Rainy,11:59,No,No,No
37,Tuesday,2024-04-02,Sunny,15:32,No,No,No
30,Tuesday,2024-08-20,Rainy,16:14,Yes,No,No
29,Sunday,2024-02-04,Sunny,05:31,No,Yes,No
33,Monday,2024-08-26,Rainy,06:39,Yes,No,No
33,Thursday,2024-05-16,Sunny,05:38,No,No,No
32,Monday,2024-01-08,Rainy,09:09,Yes,No,No
46,Sunday,2024-08-11,Sunny,17:24,Yes,Yes,No
20,Saturday,2024-11-30,Rainy,10:24,No,Yes,No
23,Friday,2024-11-08,Sunny,09:44,Yes,No,No
43,Wednesday,2024-09-11,Rainy,08:25,Yes,No,No
13,Monday,2024-05-20,Rainy,08:52,Yes,No,No
29,Tuesday,2024-02-20,Sunny,21:56,No,No,No
34,Saturday,2024-06-15,Rainy,17:06,Yes,Yes,No
7,Sunday,2024-12-29,Sunny,15:30,No,Yes,No
41,Wednesday,2024-02-07,Sunny,10:42,No,No,No
41,Monday,2024-07-15,Sunny,10:03,No,No,No
22,Saturday,2024-08-10,Rainy,12:57,No,Yes,No
32,Wednesday,2024-08-21,Rainy,08:42,Yes,No,No
25,Sunday,2024-06-30,Sunny,08:12,Yes,Yes,No
1,Friday,2024-06-07,Sunny,12:04,No,No,No
39,Friday,2024-12-06,Rainy,09:11,Yes,No,No
49,Thursday,2024-04-11,Sunny,07:47,Yes,No,No
21,Saturday,2024-06-22,Sunny,07:58,Yes,Yes,No
15,Wednesday,2024-03-13,Rainy,22:30,No,No,No
1,Tuesday,2024-04-02,Rainy,13:05,No,No,No
46,Saturday,2024-08-17,Sunny,09:18,Yes,Yes,No
30,Saturday,2024-07-13,Sunny,18:48,Yes,Yes,No
46,Thursday,2024-08-08,Sunny,10:21,No,No,No
11,Wednesday,2024-01-24,Rainy,20:50,No,No,No
46,Friday,2024-05-24,Sunny,20:22,No,No,No
28,Saturday,2024-11-16,Rainy,14:02,No,Yes,No
17,Friday,2024-04-12,Sunny,19:49,Yes,No,No
12,Wednesday,2024-12-25,Sunny,17:42,Yes,No,Yes
20,Friday,2024-08-30,Sunny,05:06,No,No,No
12,Tuesday,2024-04-30,Rainy,15:09,No,No,No
2,Wednesday,2024-07-31,Rainy,16:37,Yes,No,No
34,Thursday,2024-04-18,Sunny,14:15,No,No,No
40,Wednesday,2024-12-11,Sunny,21:09,No,No,No
49,Saturday,2024-10-19,Rainy,17:06,Yes,Yes,No
30,Thursday,2024-09-12,Rainy,18:56,Yes,No,No
41,Tuesday,2024-09-03,Rainy,21:46,No,No,No
43,Sunday,2024-10-13,Rainy,15:53,No,Yes,No
46,Sunday,2024-03-31,Sunny,05:48,No,Yes,No
27,Friday,2024-01-12,Sunny,20:05,No,No,No
48,Friday,2024-12-27,Sunny,16:12,Yes,No,No
29,Friday,2024-09-20,Sunny,10:07,No,No,No
32,Thursday,2024-10-03,Rainy,19:52,Yes,No,No
41,Thursday,2024-05-16,Sunny,07:34,Yes,No,No
35,Tuesday,2024-09-24,Sunny,05:31,No,No,No
12,Monday,2024-05-20,Rainy,11:08,No,No,No
22,Friday,2024-12-13,Sunny,16:58,Yes,No,No
44,Wednesday,2024-03-06,Rainy,06:41,Yes,No,No
8,Monday,2024-01-22,Sunny,19:32,Yes,No,No
6,Tuesday,2024-08-06,Rainy,16:23,Yes,No,No
25,Tuesday,2024-02-06,Rainy,21:05,No,No,No
41,Saturday,2024-11-23,Rainy,06:17,Yes,Yes,No
20,Wednesday,2024-10-16,Sunny,06:00,Yes,No,No
9,Tuesday,2024-01-09,Rainy,10:51,No,No,No
21,Friday,2024-12-13,Rainy,19:22,Yes,No,No
0,Saturday,2024-08-24,Rainy,08:08,Yes,Yes,No
39,Monday,2024-10-07,Rainy,20:34,No,No,No
12,Monday,2024-09-30,Rainy,15:07,No,No,No
0,Tuesday,2024-07-02,Sunny,09:18,Yes,No,No
38,Monday,2024-02-05,Sunny,19:32,Yes,No,No
46,Monday,2024-06-17,Rainy,11:35,No,No,No
50,Monday,2024-02-12,Sunny,13:01,No,No,No
0,Tuesday,2024-12-17,Sunny,19:15,Yes,No,No
1,Saturday,2024-12-07,Rainy,06:32,Yes,Yes,No
2,Tuesday,2024-08-27,Rainy,09:46,Yes,No,No
30,Friday,2024-07-26,Rainy,08:55,Yes,No,No
47,Friday,2024-08-02,Rainy,07:20,Yes,No,No
11,Monday,2024-07-22,Sunny,20:10,No,No,No
34,Saturday,2024-06-15,Rainy,19:43,Yes,Yes,No
44,Monday,2024-12-23,Sunny,05:07,No,No,No
37,Sunday,2024-05-05,Sunny,18:32,Yes,Yes,No
50,Friday,2024-01-19,Rainy,08:19,Yes,No,No
10,Monday,2024-08-12,Rainy,06:07,Yes,No,No
47,Thursday,2024-11-21,Rainy,11:11,No,No,No
6,Friday,2024-03-29,Rainy,08:48,Yes,No,No
12,Sunday,2024-02-25,Sunny,11:13,No,Yes,No
22,Friday,2024-06-21,Rainy,12:26,No,No,No
4,Tuesday,2024-11-19,Rainy,11:10,No,No,No
28,Monday,2024-12-16,Rainy,16:51,Yes,No,No
25,Thursday,2024-05-16,Sunny,07:35,Yes,No,No
44,Wednesday,2024-08-07,Rainy,11:45,No,No,No
28,Thursday,2024-08-22,Sunny,05:59,No,No,No
38,Wednesday,2024-10-09,Sunny,18:44,Yes,No,No
7,Tuesday,2024-10-08,Rainy,18:05,Yes,No,No
43,Monday,2024-06-17,Sunny,11:31,No,No,No
39,Sunday,2024-02-04,Sunny,07:04,Yes,Yes,No
42,Wednesday,2024-06-12,Sunny,15:44,No,No,No
5,Friday,2024-03-22,Rainy,15:12,No,No,No
22,Saturday,2024-01-27,Sunny,11:23,No,Yes,No
28,Tuesday,2024-09-17,Rainy,14:35,No,No,No
13,Monday,2024-11-04,Rainy,12:50,No,No,No
16,Monday,2024-02-05,Sunny,15:44,No,No,No
48,Tuesday,2024-03-26,Rainy,14:17,No,No,No
17,Thursday,2024-03-14,Sunny,17:08,Yes,No,No
40,Tuesday,2024-07-30,Sunny,07:37,Yes,No,No
26,Tuesday,2024-10-15,Sunny,07:37,Yes,No,No
0,Wednesday,2024-05-01,Sunny,22:53,No,No,Yes
24,Saturday,2024-03-02,Rainy,19:44,Yes,Yes,No
20,Sunday,2024-08-18,Sunny,12:32,No,Yes,No
3,Thursday,2024-08-29,Rainy,08:14,Yes,No,No
7,Thursday,2024-05-30,Sunny,22:44,No,No,No
44,Thursday,2024-09-12,Rainy,18:45,Yes,No,No
28,Saturday,2024-11-23,Sunny,22:18,No,Yes,No
0,Monday,2024-04-29,Sunny,07:13,Yes,No,No
20,Saturday,2024-07-13,Sunny,22:52,No,Yes,No
42,Saturday,2024-01-27,Sunny,14:14,No,Yes,No
45,Tuesday,2024-11-19,Rainy,20:19,No,No,No
16,Thursday,2024-08-29,Rainy,12:19,No,No,No
48,Saturday,2024-05-04,Sunny,11:35,No,Yes,No
23,Saturday,2024-11-02,Sunny,21:54,No,Yes,No
34,Wednesday,2024-08-14,Rainy,14:02,No,No,No
45,Tuesday,2024-07-02,Rainy,15:10,No,No,No
43,Monday,2024-10-14,Sunny,05:31,No,No,No
40,Sunday,2024-03-24,Rainy,21:54,No,Yes,No
17,Saturday,2024-11-16,Sunny,20:43,No,Yes,No
39,Monday,2024-01-01,Rainy,06:00,Yes,No,Yes
21,Tuesday,2024-04-23,Sunny,16:25,Yes,No,No
44,Monday,2024-12-02,Rainy,09:45,Yes,No,No
7,Friday,2024-06-07,Sunny,17:21,Yes,No,No
6,Monday,2024-06-24,Rainy,20:19,No,No,No
4,Tuesday,2024-10-01,Sunny,15:58,No,No,No
40,Monday,2024-01-01,Sunny,10:45,No,No,Yes
0,Saturday,2024-05-25,Rainy,17:28,Yes,Yes,No
28,Wednesday,2024-10-02,Sunny,14:17,No,No,No
23,Saturday,2024-01-20,Rainy,07:54,Yes,Yes,No
46,Saturday,2024-02-24,Rainy,20:14,No,Yes,No
25,Sunday,2024-07-21,Rainy,06:23,Yes,Yes,No
48,Tuesday,2024-12-10,Rainy,15:48,No,No,No
3,Monday,2024-11-11,Sunny,20:08,No,No,No
8,Friday,2024-06-28,Rainy,18:17,Yes,No,No
8,Wednesday,2024-05-08,Sunny,17:41,Yes,No,No
22,Saturday,2024-08-10,Rainy,13:23,No,Yes,No
25,Saturday,2024-03-16,Sunny,08:25,Yes,Yes,No
1,Wednesday,2024-02-07,Sunny,08:49,Yes,No,No
35,Thursday,2024-04-18,Sunny,09:45,Yes,No,No
7,Tuesday,2024-03-26,Rainy,09:11,Yes,No,No
43,Sunday,2024-04-07,Sunny,08:04,Yes,Yes,Yes
9,Thursday,2024-10-24,Sunny,15:20,No,No,No
17,Thursday,2024-01-11,Rainy,19:16,Yes,No,No
9,Friday,2024-11-01,Sunny,10:25,No,No,No
14,Thursday,2024-02-22,Sunny,13:35,No,No,No
6,Friday,2024-11-29,Rainy,11:43,No,No,No
44,Monday,2024-07-29,Sunny,15:41,No,No,No
43,Sunday,2024-11-17,Sunny,22:21,No,Yes,No
47,Saturday,2024-03-16,Rainy,06:17,Yes,Yes,No
18,Tuesday,2024-12-17,Rainy,13:34,No,No,No
46,Monday,2024-02-19,Sunny,13:45,No,No,No
41,Friday,2024-01-12,Rainy,13:43,No,No,No
7,Saturday,2024-08-31,Sunny,18:57,Yes,Yes,No
30,Friday,2024-07-19,Rainy,20:07,No,No,No
16,Tuesday,2024-10-08,Rainy,05:30,No,No,No
27,Wednesday,2024-02-14,Sunny,18:36,Yes,No,No
15,Thursday,2024-08-08,Rainy,10:57,No,No,No
17,Saturday,2024-11-09,Sunny,10:16,No,Yes,No
10,Monday,2024-02-12,Rainy,15:30,No,No,No
28,Thursday,2024-08-15,Sunny,17:16,Yes,No,No
40,Saturday,2024-06-29,Sunny,07:58,Yes,Yes,No
48,Tuesday,2024-08-06,Rainy,22:37,No,No,No
1,Wednesday,2024-10-30,Sunny,05:39,No,No,No
7,Friday,2024-11-08,Sunny,14:20,No,No,No
13,Wednesday,2024-01-17,Sunny,08:04,Yes,No,No
26,Tuesday,2024-02-13,Rainy,20:33,No,No,No
13,Monday,2024-08-12,Rainy,13:30,No,No,No
11,Friday,2024-03-01,Sunny,19:04,Yes,No,No
7,Wednesday,2024-02-14,Rainy,12:12,No,No,No
8,Tuesday,2024-12-17,Sunny,07:39,Yes,No,No
35,Monday,2024-09-23,Sunny,13:35,No,No,No
47,Tuesday,2024-11-05,Sunny,18:23,Yes,No,No
11,Thursday,2024-09-26,Sunny,09:32,Yes,No,No
24,Friday,2024-10-11,Sunny,15:27,No,No,No
22,Sunday,2024-03-24,Rainy,21:09,No,Yes,No
7,Thursday,2024-10-10,Sunny,09:21,Yes,No,No
34,Friday,2024-05-10,Sunny,17:40,Yes,No,No
30,Sunday,2024-01-28,Sunny,21:24,No,Yes,No
28,Saturday,2024-12-14,Sunny,11:02,No,Yes,No
43,Thursday,2024-01-18,Sunny,20:34,No,No,No
36,Sunday,2024-09-08,Rainy,06:43,Yes,Yes,No
47,Monday,2024-05-13,Sunny,19:09,Yes,No,No
50,Sunday,2024-02-04,Rainy,07:09,Yes,Yes,No
49,Thursday,2024-11-14,Sunny,10:18,No,No,No
19,Saturday,2024-01-27,Rainy,05:07,No,Yes,No
19,Friday,2024-07-05,Rainy,10:17,No,No,No
38,Wednesday,2024-07-10,Sunny,18:58,Yes,No,No
29,Saturday,2024-08-17,Sunny,16:44,Yes,Yes,No
16,Wednesday,2024-04-03,Rainy,12:52,No,No,No
21,Monday,2024-08-12,Sunny,11:17,No,No,No
39,Wednesday,2024-05-08,Rainy,17:10,Yes,No,No
11,Sunday,2024-02-11,Rainy,13:14,No,Yes,No
23,Wednesday,2024-02-28,Sunny,20:37,No,No,No
21,Thursday,2024-08-22,Rainy,05:47,No,No,No
29,Saturday,2024-01-06,Rainy,05:24,No,Yes,No
40,Saturday,2024-02-10,Sunny,11:09,No,Yes,No
5,Wednesday,2024-09-11,Rainy,13:12,No,No,No
24,Saturday,2024-01-20,Rainy,08:56,Yes,Yes,No
49,Monday,2024-03-11,Sunny,18:16,Yes,No,No
5,Friday,2024-08-30,Sunny,21:05,No,No,No
43,Monday,2024-05-27,Sunny,11:58,No,No,No
10,Wednesday,2024-02-21,Rainy,20:34,No,No,No
31,Wednesday,2024-04-24,Sunny,11:42,No,No,No
38,Saturday,2024-04-27,Rainy,15:58,No,Yes,No
50,Monday,2024-04-15,Rainy,13:34,No,No,No
49,Thursday,2024-08-01,Rainy,16:53,Yes,No,No
11,Sunday,2024-07-07,Rainy,20:08,No,Yes,No
1,Sunday,2024-11-17,Sunny,08:36,Yes,Yes,No
2,Monday,2024-11-04,Rainy,22:32,No,No,No
34,Saturday,2024-03-23,Rainy,06:01,Yes,Yes,No
46,Friday,2024-08-23,Sunny,10:51,No,No,No
34,Sunday,2024-05-12,Rainy,18:13,Yes,Yes,No
49,Wednesday,2024-07-24,Sunny,11:41,No,No,No
15,Thursday,2024-07-11,Sunny,10:31,No,No,No
7,Wednesday,2024-03-27,Rainy,16:30,Yes,No,No
38,Tuesday,2024-11-12,Sunny,07:45,Yes,No,No
11,Monday,2024-05-06,Sunny,17:34,Yes,No,No
13,Saturday,2024-08-10,Rainy,08:27,Yes,Yes,No
21,Thursday,2024-12-05,Rainy,11:12,No,No,No
43,Wednesday,2024-08-14,Sunny,08:18,Yes,No,No
47,Thursday,2024-04-18,Sunny,13:47,No,No,No
32,Wednesday,2024-05-29,Rainy,08:28,Yes,No,No
50,Saturday,2024-07-13,Rainy,19:04,Yes,Yes,No
4,Wednesday,2024-03-27,Rainy,18:03,Yes,No,No
27,Monday,2024-05-27,Sunny,20:17,No,No,No
0,Tuesday,2024-11-05,Rainy,14:24,No,No,No
33,Friday,2024-09-06,Rainy,16:51,Yes,No,No
3,Thursday,2024-07-11,Rainy,05:20,No,No,No
45,Thursday,2024-02-22,Sunny,21:33,No,No,No
28,Saturday,2024-01-27,Sunny,07:35,Yes,Yes,No
37,Friday,2024-03-08,Rainy,10:40,No,No,No
50,Monday,2024-06-24,Sunny,16:20,Yes,No,No
30,Tuesday,2024-07-16,Sunny,19:48,Yes,No,No
48,Tuesday,2024-07-23,Rainy,10:13,No,No,No
6,Wednesday,2024-10-09,Rainy,05:55,No,No,No
3,Tuesday,2024-11-26,Sunny,17:21,Yes,No,No
12,Thursday,2024-06-27,Rainy,21:18,No,No,No
4,Friday,2024-08-09,Rainy,17:59,Yes,No,No
22,Saturday,2024-08-03,Rainy,15:43,No,Yes,No
25,Sunday,2024-03-24,Rainy,19:59,Yes,Yes,No
10,Sunday,2024-02-18,Sunny,18:12,Yes,Yes,No
42,Monday,2024-01-22,Rainy,22:43,No,No,No
49,Friday,2024-02-23,Sunny,05:49,No,No,No
35,Monday,2024-01-22,Sunny,08:48,Yes,No,No
0,Monday,2024-07-15,Sunny,14:56,No,No,No
44,Thursday,2024-05-16,Rainy,16:17,Yes,No,No
0,Monday,2024-07-15,Sunny,19:38,Yes,No,No
18,Wednesday,2024-08-21,Sunny,18:06,Yes,No,No
40,Thursday,2024-03-28,Rainy,16:27,Yes,No,No
37,Tuesday,2024-02-27,Rainy,19:12,Yes,No,No
2,Saturday,2024-05-18,Sunny,14:19,No,Yes,No
21,Monday,2024-05-20,Rainy,08:21,Yes,No,No
3,Monday,2024-10-07,Rainy,10:42,No,No,No
42,Sunday,2024-03-31,Sunny,11:48,No,Yes,No
21,Thursday,2024-06-20,Sunny,08:44,Yes,No,No
44,Friday,2024-10-11,Rainy,16:21,Yes,No,No
47,Saturday,2024-06-08,Rainy,13:10,No,Yes,No
16,Saturday,2024-07-06,Rainy,21:57,No,Yes,No
22,Saturday,2024-09-28,Sunny,14:35,No,Yes,No
11,Sunday,2024-01-07,Rainy,06:46,Yes,Yes,No
49,Wednesday,2024-02-21,Rainy,22:09,No,No,No
32,Monday,2024-01-29,Sunny,08:29,Yes,No,No
48,Monday,2024-05-20,Sunny,17:47,Yes,No,No
27,Saturday,2024-01-20,Rainy,09:48,Yes,Yes,No
33,Saturday,2024-07-27,Sunny,21:47,No,Yes,No
37,Friday,2024-01-05,Rainy,17:28,Yes,No,No
28,Saturday,2024-03-30,Sunny,13:49,No,Yes,No
42,Saturday,2024-11-09,Rainy,08:33,Yes,Yes,No
24,Friday,2024-11-01,Rainy,15:58,No,No,No
